,date,close,pre_close,underlying_code
0,2021-07-01,3.548,3.515,510050.SH
1,2021-07-02,3.423,3.548,510050.SH
2,2021-07-05,3.42,3.423,510050.SH
3,2021-07-06,3.431,3.42,510050.SH
4,2021-07-07,3.442,3.431,510050.SH
5,2021-07-08,3.395,3.442,510050.SH
6,2021-07-09,3.382,3.395,510050.SH
7,2021-07-12,3.41,3.382,510050.SH
8,2021-07-13,3.421,3.41,510050.SH
9,2021-07-14,3.368,3.421,510050.SH
10,2021-07-15,3.44,3.368,510050.SH
11,2021-07-16,3.403,3.44,510050.SH
12,2021-07-19,3.416,3.403,510050.SH
13,2021-07-20,3.408,3.416,510050.SH
14,2021-07-21,3.421,3.408,510050.SH
15,2021-07-22,3.425,3.421,510050.SH
16,2021-07-23,3.388,3.425,510050.SH
17,2021-07-26,3.259,3.388,510050.SH
18,2021-07-27,3.156,3.259,510050.SH
19,2021-07-28,3.183,3.156,510050.SH
20,2021-07-29,3.212,3.183,510050.SH
21,2021-07-30,3.163,3.212,510050.SH
22,2021-08-02,3.242,3.163,510050.SH
23,2021-08-03,3.254,3.242,510050.SH
24,2021-08-04,3.264,3.254,510050.SH
25,2021-08-05,3.258,3.264,510050.SH
26,2021-08-06,3.232,3.258,510050.SH
27,2021-08-09,3.268,3.232,510050.SH
28,2021-08-10,3.322,3.268,510050.SH
29,2021-08-11,3.295,3.322,510050.SH
30,2021-08-12,3.261,3.295,510050.SH
31,2021-08-13,3.254,3.261,510050.SH
32,2021-08-16,3.262,3.254,510050.SH
33,2021-08-17,3.182,3.262,510050.SH
34,2021-08-18,3.224,3.182,510050.SH
35,2021-08-19,3.178,3.224,510050.SH
36,2021-08-20,3.108,3.178,510050.SH
